TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME
FSP_V3_Production,dbo,tblCompanyEmailJoiner,FSP_V3_Production,dbo,PK_tblCompanyEmailJoiner
FSP_V3_Production,inv,StudentFinancingAccounts,FSP_V3_Production,inv,PK_StudentFinancingAccounts
FSP_V3_Production,mx,WorkLogs,FSP_V3_Production,mx,PK_WorkLogs_1
FSP_V3_Production,dbo,CustomProfileDocumentation,FSP_V3_Production,dbo,PK_CustomProfileDocumentation
FSP_V3_Production,HangFire,Job,FSP_V3_Production,HangFire,PK_HangFire_Job
FSP_V3_Production,dbo,tblInvoicingLineItems,FSP_V3_Production,dbo,PK_tblInvoicingLineItems
FSP_V3_Production,dbo,tblUserPermissionJoiner,FSP_V3_Production,dbo,PK_tblUserPermissionJoiner
FSP_V3_Production,inv,StudentFinancingAccounts,FSP_V3_Production,inv,UK_StudentFinancingAccounts_OperatorId_Type
FSP_V3_Production,mx,WorkLogs,FSP_V3_Production,mx,UK_WorkLogs
FSP_V3_Production,dbo,QBDCustomers,FSP_V3_Production,dbo,PK_QBDCustomers
FSP_V3_Production,dbo,ChargifyMxHubSubscriptions,FSP_V3_Production,dbo,PK_ChargifyMxHubSubscriptions
FSP_V3_Production,dbo,TSASecurityAwarenessTrainingsHistory,FSP_V3_Production,dbo,PK_TSASecurityAwarenessTrainingHistory
FSP_V3_Production,dbo,ProfileDocumentation,FSP_V3_Production,dbo,PK_ProfileDocumentation
FSP_V3_Production,dbo,InvoiceLocationPreferences,FSP_V3_Production,dbo,PK_InvoiceLocationPreferences
FSP_V3_Production,HangFire,JobParameter,FSP_V3_Production,HangFire,PK_HangFire_JobParameter
FSP_V3_Production,dbo,tblLocationToPersonJoiner,FSP_V3_Production,dbo,PK_tblLocationToPersonJoiner
FSP_V3_Production,dbo,ChargifyMxHubSubscriptions,FSP_V3_Production,dbo,UK_ChargifyMxHubSubscriptions_OperatorId
FSP_V3_Production,inv,StudentFinancingAccounts,FSP_V3_Production,inv,UK_StudentFinancingAccounts_StudentFinancingAccountGuid
FSP_V3_Production,dbo,SsoConfigurations,FSP_V3_Production,dbo,PK_SsoConfigurations
FSP_V3_Production,dbo,AuditHistoryEvents,FSP_V3_Production,dbo,PK_AuditHistoryEvents
FSP_V3_Production,dbo,FlightAlerts,FSP_V3_Production,dbo,PK__tmp_ms_x__F4A565FE33170374
FSP_V3_Production,dbo,tblTimeZones,FSP_V3_Production,dbo,PK_tblTimeZones
FSP_V3_Production,inv,StudentFinancingAccounts,FSP_V3_Production,inv,CHK_StudentFinancingAccounts_Status
