DatabaseName,SchemaName,TableName,IndexName,IndexType,IsUnique,IsPrimaryKey,IsUniqueConstraint,ColumnName,KeyOrdinal,IsIncludedColumn
fsp-165587,dbo,CourseProfiles,PK_CourseProfiles,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,Courses,ix_Courses_CourseFamilyId,NONCLUSTERED,false,false,false,CourseId,0,true
fsp-165587,dbo,Courses,ix_Courses_CourseFamilyId,NONCLUSTERED,false,false,false,CourseFamilyId,1,false
fsp-165587,dbo,Courses,nci_wi_Courses_7F7D3A98CDE02C53D9252215A2EBF4F2,NONCLUSTERED,false,false,false,OperatorId,1,false
fsp-165587,dbo,Courses,nci_wi_Courses_7F7D3A98CDE02C53D9252215A2EBF4F2,NONCLUSTERED,false,false,false,Status,2,false
fsp-165587,dbo,Courses,PK_Courses,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,Courses,UK_Courses_CourseId,NONCLUSTERED,true,false,true,CourseId,1,false
fsp-165587,dbo,CourseTasks,IDX_CourseTasks_CourseId_OperatorId,NONCLUSTERED,false,false,false,CourseTaskId,0,true
fsp-165587,dbo,CourseTasks,IDX_CourseTasks_CourseId_OperatorId,NONCLUSTERED,false,false,false,Name,0,true
fsp-165587,dbo,CourseTasks,IDX_CourseTasks_CourseId_OperatorId,NONCLUSTERED,false,false,false,CourseId,1,false
fsp-165587,dbo,CourseTasks,IDX_CourseTasks_CourseId_OperatorId,NONCLUSTERED,false,false,false,OperatorId,2,false
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_59770F95B69E3137CCFDFE44E9E13B51,NONCLUSTERED,false,false,false,CourseTaskId,0,true
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_59770F95B69E3137CCFDFE44E9E13B51,NONCLUSTERED,false,false,false,IsLocked,0,true
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_59770F95B69E3137CCFDFE44E9E13B51,NONCLUSTERED,false,false,false,CourseId,1,false
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_59770F95B69E3137CCFDFE44E9E13B51,NONCLUSTERED,false,false,false,OperatorId,2,false
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_59770F95B69E3137CCFDFE44E9E13B51,NONCLUSTERED,false,false,false,Name,3,false
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_BA04E2824C81C30B0D9E7FBC9EA98383,NONCLUSTERED,false,false,false,CourseTaskId,0,true
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_BA04E2824C81C30B0D9E7FBC9EA98383,NONCLUSTERED,false,false,false,IsLocked,0,true
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_BA04E2824C81C30B0D9E7FBC9EA98383,NONCLUSTERED,false,false,false,Name,0,true
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_BA04E2824C81C30B0D9E7FBC9EA98383,NONCLUSTERED,false,false,false,OperatorId,1,false
fsp-165587,dbo,CourseTasks,nci_wi_CourseTasks_BA04E2824C81C30B0D9E7FBC9EA98383,NONCLUSTERED,false,false,false,CourseId,2,false
fsp-165587,dbo,CourseTasks,PK_CourseTasks,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,CourseTasks,UK_CourseTasks_CourseId_Name,NONCLUSTERED,true,false,true,CourseId,1,false
fsp-165587,dbo,CourseTasks,UK_CourseTasks_CourseId_Name,NONCLUSTERED,true,false,true,Name,2,false
fsp-165587,dbo,CourseTasks,UK_CourseTasks_CourseTaskId,NONCLUSTERED,true,false,true,CourseTaskId,1,false
fsp-165587,dbo,CourseTimeFields,ix_CourseTimeFields_CourseId_OperatorId,NONCLUSTERED,false,false,false,FieldId,0,true
fsp-165587,dbo,CourseTimeFields,ix_CourseTimeFields_CourseId_OperatorId,NONCLUSTERED,false,false,false,Enabled,0,true
fsp-165587,dbo,CourseTimeFields,ix_CourseTimeFields_CourseId_OperatorId,NONCLUSTERED,false,false,false,CourseId,1,false
