CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION
fsp-165587,dbo,UK_LessonTasks_LessonTaskId,fsp-165587,dbo,LessonTasks,LessonTaskId,1
fsp-165587,dbo,PK_LessonTrackedTimeFields,fsp-165587,dbo,LessonTrackedTimeFields,_RowId,1
fsp-165587,dbo,PK_MaintenanceReminderResolutions,fsp-165587,dbo,MaintenanceReminderResolutions,_RowId,1
fsp-165587,dbo,UK_MaintenanceReminderResolutions_ResolutionId,fsp-165587,dbo,MaintenanceReminderResolutions,ResolutionId,1
fsp-165587,dbo,PK_MaintenanceReminders,fsp-165587,dbo,MaintenanceReminders,_RowId,1
fsp-165587,dbo,UK_MaintenanceReminders,fsp-165587,dbo,MaintenanceReminders,OperatorId,1
fsp-165587,dbo,UK_MaintenanceReminders,fsp-165587,dbo,MaintenanceReminders,ReminderId,2
fsp-165587,dbo,PK_MaintenanceReminderTemplates,fsp-165587,dbo,MaintenanceReminderTemplates,_RowId,1
fsp-165587,dbo,UK_MaintenanceReminderTemplates,fsp-165587,dbo,MaintenanceReminderTemplates,TemplateId,1
fsp-165587,dbo,UK_MaintenanceReminderTemplates,fsp-165587,dbo,MaintenanceReminderTemplates,OperatorId,2
fsp-165587,dbo,PK_MassEmailAttachments,fsp-165587,dbo,MassEmailAttachments,_rowId,1
fsp-165587,dbo,PK_MassEmailPeopleGroupIds,fsp-165587,dbo,MassEmailPeopleGroupIds,_RowId,1
fsp-165587,dbo,PK_MassEmailRoleIds,fsp-165587,dbo,MassEmailRoleIds,_RowId,1
fsp-165587,dbo,UK_MassEmailRoleIds_MassEmailId_RoleId,fsp-165587,dbo,MassEmailRoleIds,MassEmailId,1
fsp-165587,dbo,UK_MassEmailRoleIds_MassEmailId_RoleId,fsp-165587,dbo,MassEmailRoleIds,RoleId,2
fsp-165587,dbo,PK_MassEmails,fsp-165587,dbo,MassEmails,_rowId,1
fsp-165587,dbo,UK_MassEmails_MassEmailId,fsp-165587,dbo,MassEmails,MassEmailId,1
fsp-165587,dbo,PK_MassEmailUserIds,fsp-165587,dbo,MassEmailUserIds,_RowId,1
fsp-165587,dbo,UK_MassEmailUserIds_MassEmailId_UserId,fsp-165587,dbo,MassEmailUserIds,MassEmailId,1
fsp-165587,dbo,UK_MassEmailUserIds_MassEmailId_UserId,fsp-165587,dbo,MassEmailUserIds,UserId,2
fsp-165587,dbo,PK_MeetingRooms,fsp-165587,dbo,MeetingRooms,_RowNumber,1
fsp-165587,dbo,PK_MembershipSettings,fsp-165587,dbo,MembershipSettings,_RowNumber,1
fsp-165587,dbo,PK_MembershipSubscriptions,fsp-165587,dbo,MembershipSubscriptions,_RowNumber,1
fsp-165587,dbo,PK_MembershipSubscriptionsHistory,fsp-165587,dbo,MembershipSubscriptionsHistory,_RowNumber,1
fsp-165587,dbo,PK__MeterRec__94D7B0A4B23CE40E,fsp-165587,dbo,MeterRecordSegments,_RowId,1
fsp-165587,dbo,PK_OperatorAirportIdentifiers,fsp-165587,dbo,OperatorAirportIdentifiers,_RowId,1
fsp-165587,dbo,UK_OperatorAirportIdentifiers_OperatorIdAirportId,fsp-165587,dbo,OperatorAirportIdentifiers,OperatorId,1
fsp-165587,dbo,UK_OperatorAirportIdentifiers_OperatorIdAirportId,fsp-165587,dbo,OperatorAirportIdentifiers,AirportId,2
fsp-165587,dbo,PK_CompanySettings,fsp-165587,dbo,OperatorSettings,_RowNumber,1
fsp-165587,dbo,PK_Parts,fsp-165587,dbo,Parts,_RowId,1
fsp-165587,dbo,UK_Parts_PartId,fsp-165587,dbo,Parts,PartId,1
fsp-165587,dbo,PK_PeopleGroupActivityTypes,fsp-165587,dbo,PeopleGroupActivityTypes,_RowNumber,1
fsp-165587,dbo,PK_PeopleGroups,fsp-165587,dbo,PeopleGroups,_RowNumber,1
fsp-165587,dbo,PK_PersonNotes,fsp-165587,dbo,PersonNotes,PersonNoteId,1
fsp-165587,dbo,PK_Phases,fsp-165587,dbo,Phases,_RowId,1
fsp-165587,dbo,UK_Phases_PhaseId,fsp-165587,dbo,Phases,PhaseId,1
fsp-165587,dbo,PK_PhaseTrackedTimeFields,fsp-165587,dbo,PhaseTrackedTimeFields,_RowId,1
fsp-165587,dbo,PK_PhotoIds,fsp-165587,dbo,PhotoIds,_RowId,1
fsp-165587,dbo,PK_PilotMedicalCertificate,fsp-165587,dbo,PilotMedicalCertificate,PilotId,1
fsp-165587,dbo,PK_ProfileDocumentation,fsp-165587,dbo,ProfileDocumentation,_RowId,1
fsp-165587,dbo,UK_ProfileDocumentation_CompanyIdProfileDocumentationTypeId,fsp-165587,dbo,ProfileDocumentation,CompanyId,1
fsp-165587,dbo,UK_ProfileDocumentation_ProfileDocumentationId,fsp-165587,dbo,ProfileDocumentation,_RowId,1
fsp-165587,dbo,UK_ProfileDocumentation_CompanyIdProfileDocumentationTypeId,fsp-165587,dbo,ProfileDocumentation,DocumentationTypeId,2
fsp-165587,dbo,PK_ProfileDocumentationExpiration,fsp-165587,dbo,ProfileDocumentationExpiration,_RowId,1
fsp-165587,dbo,PK_QBDAccounts,fsp-165587,dbo,QBDAccounts,_RowNumber,1
fsp-165587,dbo,PK_QBDCustomers,fsp-165587,dbo,QBDCustomers,_RowNumber,1
fsp-165587,dbo,PK_QBDPaymentMethods,fsp-165587,dbo,QBDPaymentMethods,_RowNumber,1
