SchemaName,TableName,ColumnName,StatisticName,IsAutoCreated,IsUserCreated,LastUpdated
dbo,CustomLessonTasks,LessonId,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,false,false,2025-03-12 21:13:07.320
dbo,CustomLessonTasks,OperatorId,_WA_Sys_00000002_4EC8A2F6,true,false,2025-10-21 12:08:38.320
dbo,CustomLessonTasks,OperatorId,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,false,false,2025-03-12 21:13:07.320
dbo,CustomProfileDocumentation,_RowId,PK_CustomProfileDocumentation,false,false,2023-09-13 23:19:33.577
dbo,CustomProfileDocumentation,CompanyId,_WA_Sys_00000002_3805392F,true,false,2025-10-20 09:46:35.177
dbo,CustomProfileDocumentation,CustomProfileDocumentationId,UK_CustomProfileDocumentation_CustomProfileDocumentationId,false,false,
dbo,CustomSquawkResolutions,CompanyId,_WA_Sys_00000003_63E3BB6D,true,false,2025-09-20 09:40:19.493
dbo,CustomSquawkResolutions,CustomSquawkResolutionId,dbo.IDX_CustomSquawkResolutions_CustomSquawkResolutionId_ResolvesGroundableSquawk,false,false,
dbo,CustomSquawkResolutions,id,PK_CustomSquawkResolutions,false,false,2023-07-13 23:03:47.060
dbo,CustomTimeFields,CustomTimeFieldId,PK_CustomTimeFields_CustomTimeFieldId,false,false,
dbo,CustomTimeFields,FieldId,UK_CustomTimeFields_FieldId,false,false,
dbo,CustomTimeFields,Name,UK_CustomTimeFields_OperatorId_Name,false,false,2025-10-03 12:06:26.000
dbo,CustomTimeFields,OperatorId,UK_CustomTimeFields_OperatorId_Name,false,false,2025-10-03 12:06:26.000
dbo,DiscountGroup,_RowNumber,PK_DiscountGroups,false,false,2023-08-28 23:17:52.240
dbo,DiscountGroup,OperatorId,_WA_Sys_00000002_741A2336,true,false,2025-10-19 09:46:05.647
dbo,DiscountGroupPeopleGroupJoiner,DiscountGroupId,PK_DiscountGroupPeopleGroupJoiner,false,false,2023-07-13 23:02:54.017
dbo,DiscountGroupPeopleGroupJoiner,OperatorId,PK_DiscountGroupPeopleGroupJoiner,false,false,2023-07-13 23:02:54.017
dbo,DiscountGroupPeopleGroupJoiner,OperatorId,_WA_Sys_00000002_0AFD888E,true,false,2025-10-11 09:47:14.157
dbo,DiscountGroupPeopleGroupJoiner,PeopleGroupId,_WA_Sys_00000003_0AFD888E,true,false,2023-07-13 23:02:54.033
dbo,DiscountGroupPeopleGroupJoiner,PeopleGroupId,PK_DiscountGroupPeopleGroupJoiner,false,false,2023-07-13 23:02:54.017
dbo,DiscountGroupRoleJoiner,DiscountGroupId,PK_DiscountGroupRoleJoiner,false,false,2023-09-15 23:20:27.780
dbo,DiscountGroupRoleJoiner,OperatorId,PK_DiscountGroupRoleJoiner,false,false,2023-09-15 23:20:27.780
dbo,DiscountGroupRoleJoiner,OperatorId,_WA_Sys_00000002_1B33F057,true,false,2025-10-21 09:53:26.547
dbo,DiscountGroupRoleJoiner,RoleId,_WA_Sys_00000003_1B33F057,true,false,2023-09-15 23:20:27.783
dbo,DiscountGroupRoleJoiner,RoleId,PK_DiscountGroupRoleJoiner,false,false,2023-09-15 23:20:27.780
dbo,DiscountGroupUserJoiner,DiscountGroupId,PK_DiscountGroupUserJoiner,false,false,
dbo,DiscountGroupUserJoiner,OperatorId,PK_DiscountGroupUserJoiner,false,false,
dbo,DiscountGroupUserJoiner,OperatorId,_WA_Sys_00000002_2E46C4CB,true,false,2025-10-12 09:47:51.987
dbo,DiscountGroupUserJoiner,UserId,PK_DiscountGroupUserJoiner,false,false,
dbo,DocumentUploadBackups,_RowNumber,PK_DocumentUploadBackups,false,false,
dbo,DocumentUploadBackups,OperatorId,_WA_Sys_00000003_71FCD09A,true,false,2024-09-27 08:29:33.377
dbo,DocumentUploads,_RowNumber,PK_DocumentUploads,false,false,2023-08-30 23:26:46.470
dbo,DocumentUploads,AddedToTrashCanAt,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,false,false,2025-10-21 09:53:38.223
dbo,DocumentUploads,DocumentTypeId,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,false,false,2025-10-21 09:53:38.223
dbo,DocumentUploads,OperatorId,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,false,false,2025-10-21 09:53:38.223
dbo,DocumentUploads,UserDocumentationTypeId,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,false,false,2025-10-21 09:53:38.223
dbo,DocumentUploads,UserId,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,false,false,2025-10-21 09:53:38.223
dbo,Endorsements,_RowId,PK_Endorsements,false,false,2023-08-30 23:08:01.493
dbo,Endorsements,EndorsementId,UK_Endorsements_EndorsementId,false,false,
dbo,Endorsements,EndorsementTypeId,ix_Endorsements_OperatorId_UserId_EndorsementTypeId,false,false,2025-10-21 09:51:11.830
dbo,Endorsements,OperatorId,ix_Endorsements_OperatorId_UserId_EndorsementTypeId,false,false,2025-10-21 09:51:11.830
dbo,Endorsements,UserId,ix_Endorsements_OperatorId_UserId_EndorsementTypeId,false,false,2025-10-21 09:51:11.830
dbo,EndorsementsHistory,_RowId,PK_EndorsementsHistory,false,false,2023-09-01 23:05:55.110
dbo,EndorsementsHistory,CompanyId,_WA_Sys_00000005_5FA91635,true,false,2025-10-21 09:51:00.820
dbo,EnrollmentCreditPreviousTotals,_RowId,PK_EnrollmentCreditPreviousTotals,false,false,2023-09-01 23:00:36.970
dbo,EnrollmentCreditPreviousTotals,EnrollmentId,nci_wi_EnrollmentCreditPreviousTotals_EA93683341CC50D25975B2140147BD5E,false,false,2025-10-04 12:06:59.713
dbo,EnrollmentCreditPreviousTotals,OperatorId,nci_wi_EnrollmentCreditPreviousTotals_EA93683341CC50D25975B2140147BD5E,false,false,2025-10-04 12:06:59.713
dbo,EnrollmentCreditPreviousTotals,Value,nci_wi_EnrollmentCreditPreviousTotals_EA93683341CC50D25975B2140147BD5E,false,false,2025-10-04 12:06:59.713
dbo,EnrollmentCredits,_RowId,PK_EnrollmentCredits,false,false,2023-08-31 23:00:26.033
dbo,EnrollmentCredits,EnrollmentId,UK_EnrollmentCredits_EnrollmentId,false,false,
dbo,EnrollmentCredits,OperatorId,_WA_Sys_00000002_4F72AE6C,true,false,2025-10-21 12:08:37.870
dbo,EnrollmentDocuments,_RowId,PK_EnrollmentDocuments,false,false,2023-08-30 23:01:11.153
dbo,EnrollmentDocuments,EnrollmentDocumentId,nci_wi_EnrollmentDocuments_6F653A1B4C1C161A05BE0DF4FD33178E,false,false,2025-03-12 21:03:27.660
dbo,EnrollmentDocuments,EnrollmentId,nci_wi_EnrollmentDocuments_26C113C566371C8C6766A92223933D07,false,false,
dbo,EnrollmentDocuments,OperatorId,nci_wi_EnrollmentDocuments_26C113C566371C8C6766A92223933D07,false,false,
dbo,EnrollmentDocuments,OperatorId,nci_wi_EnrollmentDocuments_6F653A1B4C1C161A05BE0DF4FD33178E,false,false,2025-03-12 21:03:27.660
dbo,EnrollmentDocuments,OperatorId,_WA_Sys_00000003_6561EF8B,true,false,2025-10-21 12:08:43.550
dbo,EnrollmentDocuments,SignedAtUtc,nci_wi_EnrollmentDocuments_26C113C566371C8C6766A92223933D07,false,false,
dbo,EnrollmentInstructors,_RowId,PK_EnrollmentInstructors,false,false,2023-08-30 23:01:13.523
dbo,EnrollmentInstructors,EnrollmentId,nci_wi_EnrollmentInstructors_1F3EE2B3476CD28D89E1BFA868C12DB2,false,false,
dbo,EnrollmentInstructors,EnrollmentId,nci_wi_EnrollmentInstructors_BABD0DFA15F4E24DB55656509AB99C56,false,false,2025-10-04 12:07:02.880
dbo,EnrollmentInstructors,OperatorId,ix_EnrollmentInstructors_OperatorId,false,false,2025-03-12 21:13:07.500
dbo,EnrollmentInstructors,OperatorId,nci_wi_EnrollmentInstructors_BABD0DFA15F4E24DB55656509AB99C56,false,false,2025-10-04 12:07:02.880
dbo,EnrollmentInstructors,PrimaryInstructor,nci_wi_EnrollmentInstructors_BABD0DFA15F4E24DB55656509AB99C56,false,false,2025-10-04 12:07:02.880
dbo,Enrollments,_RowId,PK_Enrollments,false,false,2025-01-31 14:26:48.630
dbo,Enrollments,CourseId,_WA_Sys_00000003_066DDD9B,true,false,2025-10-21 18:04:02.783
dbo,Enrollments,CourseId,nci_wi_Enrollments_096E7FF34214652A2DC402FD1D781BA8,false,false,2025-10-21 18:04:03.003
dbo,Enrollments,CourseProfileId,_WA_Sys_0000001C_066DDD9B,true,false,2024-11-18 21:02:18.290
dbo,Enrollments,CourseProfileOverallProgressStatus,_WA_Sys_0000001D_066DDD9B,true,false,2025-08-08 14:00:32.953
dbo,Enrollments,EnrollmentDate,_WA_Sys_00000009_066DDD9B,true,false,2025-08-08 13:57:35.063
dbo,Enrollments,EnrollmentId,UK_Enrollments_EnrollmentId,false,false,2025-10-21 18:04:02.930
dbo,Enrollments,EnrollmentId,nci_wi_Enrollments_096E7FF34214652A2DC402FD1D781BA8,false,false,2025-10-21 18:04:03.003
dbo,Enrollments,EnrollmentStatus,nci_wi_Enrollments_096E7FF34214652A2DC402FD1D781BA8,false,false,2025-10-21 18:04:03.003
dbo,Enrollments,OperatorId,nci_wi_Enrollments_096E7FF34214652A2DC402FD1D781BA8,false,false,2025-10-21 18:04:03.003
dbo,Enrollments,OperatorId,IDX_Enrollments_OperatorId_CourseIdEnrollmentIdStudentIdEnrollmentDate,false,false,2025-10-21 12:08:37.793
dbo,Enrollments,StudentId,nci_wi_Enrollments_096E7FF34214652A2DC402FD1D781BA8,false,false,2025-10-21 18:04:03.003
dbo,EnrollmentsLog,_RowNumber,PK_EnrollmentsLog,false,false,
dbo,EnrollmentTimes,EnrollmentId,_WA_Sys_00000003_24F264BB,true,false,2023-08-30 23:02:21.690
dbo,EnrollmentTimes,EnrollmentId,PK_EnrollmentTimes,false,false,2025-10-21 12:09:39.877
dbo,EnrollmentTimes,OperatorId,PK_EnrollmentTimes,false,false,2025-10-21 12:09:39.877
dbo,EnrollmentTimes,TimeFieldId,_WA_Sys_00000004_24F264BB,true,false,2023-08-30 23:02:21.800
dbo,EnrollmentTimes,TimeFieldId,PK_EnrollmentTimes,false,false,2025-10-21 12:09:39.877
dbo,Exams,_RowId,PK_Exams,false,false,2023-08-31 23:00:39.907
dbo,Exams,ExamId,UK_Exams_ExamId,false,false,
dbo,Exams,OperatorId,_WA_Sys_00000004_21C0F255,true,false,2025-10-21 12:08:38.387
dbo,ExamScoreDocuments,_RowId,PK_ExamScoreDocuments,false,false,2023-08-30 23:01:51.590
dbo,ExamScoreDocuments,OperatorId,_WA_Sys_00000003_4321E620,true,false,2025-10-21 12:09:05.860
dbo,ExamScores,_RowId,PK_ExamScores,false,false,2023-08-30 23:01:17.203
dbo,ExamScores,ExamScoreId,UK_ExamScores_ExamScoreId,false,false,
dbo,ExamScores,OperatorId,_WA_Sys_00000005_0E64051E,true,false,2025-10-21 12:08:43.283
dbo,FlightInstructorCertificate,_RowId,PK_FlightInstructorCertificate,false,false,2023-08-30 23:07:21.457
dbo,FlightInstructorCertificate,CompanyId,_WA_Sys_00000003_55EAA1D1,true,false,2025-10-21 09:51:02.283
dbo,FlightInstructorCertificate,UserId,UK_FlightInstructorCertificate,false,false,
dbo,Headings,_RowId,PK_Headings,false,false,2023-08-30 23:01:18.537
dbo,Headings,CourseId,nci_wi_Headings_B9A95A336CDE3A7CB133E66714625055,false,false,
dbo,Headings,CourseId,nci_wi_Headings_D925C8F98F1EFE6EB89336765BA35BD2,false,false,2025-03-12 21:13:08.290
dbo,Headings,HeadingId,UK_Headings_HeadingId,false,false,
dbo,Headings,LessonId,IDX_Headings_LessonId,false,false,
dbo,Headings,LessonId,nci_wi_Headings_B9A95A336CDE3A7CB133E66714625055,false,false,
